GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
55	rs7742369	6	34194866	rs1759645	2017-08-18	28448500	Graff M	2017-04-27	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/28448500	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	Waist circumference adjusted for body mass index	2,518 African American women, 85,730 European ancestry women, 1,773 Filipino ancestry women, 1,030 Indian ancestry women, 1,457 African American men, 54,792 European ancestry men, 7,648 Indian ancestry men, 5,527 European ancestry individuals	6,244 African American women, 17,531 European ancestry women, 329 African American men, 19,956 European ancestry men	6p21.31	CYCSL1, HMGA1	CYCSP55 - HMGA1	157317	3159		6152	9711	rs1759645-C	rs1759645	0	1759645	regulatory_region_variant	1	0.20420000000000005	8E-11	10.096910013008056		0.0311	[0.022-0.041] cm increase	Affymetrix, Illumina, Perlegen [~ 2500000] (imputed)	N
55	rs7742369	6	34195011	rs1776897	2008-07-01	18391951	Gudbjartsson DF	2008-04-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18391951	Many sequence variants affecting diversity of adult human height.	Height	30,968 European ancestry individuals	8,541 European ancestry individuals	6p21.31	LBH, HMGA1	CYCSP55 - HMGA1	157317	3159		6297	9566	rs1776897-C	rs1776897	0	1776897	regulatory_region_variant	1	0.07	1E-8	8.0		8.8	[5.66-11.94] % s.d. increase	Affymetrix, Illumina [up to 304226]	N
55	rs7742369	6	34195011	rs1776897	2009-04-22	19343178	Soranzo N	2009-04-03	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/19343178	Meta-analysis of genome-wide scans for human adult stature identifies novel Loci and associations with measures of skeletal frame size.	Height	12,611 European ancestry individuals	7,187 European ancestry individuals	6p21.31	HMGA1, C6orf106	CYCSP55 - HMGA1	157317	3159		6297	9566	rs1776897-?	rs1776897	0	1776897	regulatory_region_variant	1	0.49	8E-11	10.096910013008056		0.12	[0.08-0.16] s.d. increase	Illumina [229216]	N
55	rs7742369	6	34195011	rs1776897	2010-05-11	20397748	Liu JZ	2010-04-01	Twin Res Hum Genet	www.ncbi.nlm.nih.gov/pubmed/20397748	Genome-wide association study of height and body mass index in Australian twin families.	Height	11,536 European ancestry individuals	NA	6p21.31	HMGA1	CYCSP55 - HMGA1	157317	3159		6297	9566	rs1776897-T	rs1776897	0	1776897	regulatory_region_variant	1	0.49	7E-6	5.154901959985743		0.11	[0.04-0.18] SD decrease	Illumina [559712] (imputed)	N
55	rs7742369	6	34195011	rs1776897	2015-07-15	25429064	He M	2014-11-26	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/25429064	Meta-analysis of genome-wide association studies of adult height in East Asians identifies 17 novel loci.	Height	36,227 East Asian ancestry individuals	57,699 East Asian ancestry individuals	6p21.31	HMGA1	CYCSP55 - HMGA1	157317	3159		6297	9566	rs1776897-T	rs1776897	0	1776897	regulatory_region_variant	1	0.88	2E-29	28.69897000433602		0.088	[0.07-0.106] unit decrease	Affymetrix, Illumina [2704730] (imputed)	N
55	rs7742369	6	34195011	rs1776897	2016-02-04	25673412	Shungin D	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673412	New genetic loci link adipose and insulin biology to body fat distribution.	Waist-to-hip ratio adjusted for body mass index	up to 56,910 European ancestry men, up to 86,570 European ancestry women	up to 36,570 European ancestry men, 30,172 European ancestry women, 915 Filipino ancestry men, 735 Filipino ancestry women, 2,351 African American/Afro-Caribbean ancestry men, 6,258 African American/Afro-Caribbean ancestry women, 2,285 South Asian ancestry men, 506 South Asian ancestry women, 195 Seychellois ancestry men, 266 Seychellois ancestry women	6p21.31	HMGA1	CYCSP55 - HMGA1	157317	3159		6297	9566	rs1776897-G	rs1776897	0	1776897	regulatory_region_variant	1	0.0812	7E-9	8.154901959985743	(EA, women)	0.052	[0.034-0.07] unit increase	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	N
55	rs7742369	6	34195011	rs1776897	2016-02-04	25673412	Shungin D	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673412	New genetic loci link adipose and insulin biology to body fat distribution.	Waist-to-hip ratio adjusted for body mass index	up to 56,910 European ancestry men, up to 86,570 European ancestry women	up to 36,570 European ancestry men, 30,172 European ancestry women, 915 Filipino ancestry men, 735 Filipino ancestry women, 2,351 African American/Afro-Caribbean ancestry men, 6,258 African American/Afro-Caribbean ancestry women, 2,285 South Asian ancestry men, 506 South Asian ancestry women, 195 Seychellois ancestry men, 266 Seychellois ancestry women	6p21.31	HMGA1	CYCSP55 - HMGA1	157317	3159		6297	9566	rs1776897-G	rs1776897	0	1776897	regulatory_region_variant	1	0.1298	2E-7	6.698970004336019	(women)	0.0431	[0.027-0.059] unit increase	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	N
55	rs7742369	6	34195011	rs1776897	2017-05-23	25673412	Shungin D	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673412	New genetic loci link adipose and insulin biology to body fat distribution.	Waist circumference adjusted for body mass index	up to 56,910 European ancestry men, up to 86,570 European ancestry women	up to 36,570 European ancestry men, 30,172 European ancestry women, 915 Filipino ancestry men, 735 Filipino ancestry women, 2,351 African American/Afro-Caribbean ancestry men, 6,258 African American/Afro-Caribbean ancestry women, 2,285 South Asian ancestry men, 506 South Asian ancestry women, 195 Seychellois ancestry men, 266 Seychellois ancestry women	6p21.31	HMGA1	CYCSP55 - HMGA1	157317	3159		6297	9566	rs1776897-T	rs1776897	0	1776897	regulatory_region_variant	1	0.9193	2E-16	15.698970004336019	(EA,women)	0.0715	[0.054-0.089] unit decrease	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	N
55	rs7742369	6	34195011	rs1776897	2017-05-23	25673412	Shungin D	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673412	New genetic loci link adipose and insulin biology to body fat distribution.	Waist circumference adjusted for body mass index	up to 56,910 European ancestry men, up to 86,570 European ancestry women	up to 36,570 European ancestry men, 30,172 European ancestry women, 915 Filipino ancestry men, 735 Filipino ancestry women, 2,351 African American/Afro-Caribbean ancestry men, 6,258 African American/Afro-Caribbean ancestry women, 2,285 South Asian ancestry men, 506 South Asian ancestry women, 195 Seychellois ancestry men, 266 Seychellois ancestry women	6p21.31	HMGA1	CYCSP55 - HMGA1	157317	3159		6297	9566	rs1776897-T	rs1776897	0	1776897	regulatory_region_variant	1	0.9193	6E-20	19.221848749616356	(EA)	0.0613	[0.048-0.074] unit decrease	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	N
55	rs7742369	6	34195011	rs1776897	2017-05-23	25673412	Shungin D	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673412	New genetic loci link adipose and insulin biology to body fat distribution.	Waist circumference adjusted for body mass index	up to 56,910 European ancestry men, up to 86,570 European ancestry women	up to 36,570 European ancestry men, 30,172 European ancestry women, 915 Filipino ancestry men, 735 Filipino ancestry women, 2,351 African American/Afro-Caribbean ancestry men, 6,258 African American/Afro-Caribbean ancestry women, 2,285 South Asian ancestry men, 506 South Asian ancestry women, 195 Seychellois ancestry men, 266 Seychellois ancestry women	6p21.31	HMGA1	CYCSP55 - HMGA1	157317	3159		6297	9566	rs1776897-T	rs1776897	0	1776897	regulatory_region_variant	1	0.9193	8E-7	6.096910013008056	(EA, men)	0.0476	[0.029-0.066] unit decrease	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	N
55	rs7742369	6	34195011	rs1776897	2017-08-10	28443625	Justice AE	2017-04-26	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28443625	Genome-wide meta-analysis of 241,258 adults accounting for smoking behaviour identifies novel loci for obesity traits.	Waist circumference adjusted for BMI (adjusted for smoking behaviour)	97,400 European ancestry women, 63,892 European ancestry men, 5,829 European ancestry individuals, 10,500 African American/Afro-Caribbean ancestry women, 2,706 African American/Afro-Caribbean ancestry men, 1,030 Indian Asian ancestry women, 7,648 Indian Asian ancestry men, 1,793 Filipino ancestry women, 2,944 Hispanic/Latino ancestry women, 1,764 Hispanic/Latino ancestry men	21,496 European ancestry women, 24,385 European ancestry men, 118,364 European ancestry individuals, 2,326 African American/Afro-Caribbean ancestry women, 855 African American/Afro-Caribbean ancestry men	6p21.31	HMGA1	CYCSP55 - HMGA1	157317	3159		6297	9566	rs1776897-T	rs1776897	0	1776897	regulatory_region_variant	1	0.8414	6E-15	14.221848749616356	(women)	0.0647	[0.048-0.081] unit decrease	Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	N
55	rs7742369	6	34195011	rs1776897	2017-08-10	28443625	Justice AE	2017-04-26	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28443625	Genome-wide meta-analysis of 241,258 adults accounting for smoking behaviour identifies novel loci for obesity traits.	Waist circumference adjusted for BMI (adjusted for smoking behaviour)	97,400 European ancestry women, 63,892 European ancestry men, 5,829 European ancestry individuals, 10,500 African American/Afro-Caribbean ancestry women, 2,706 African American/Afro-Caribbean ancestry men, 1,030 Indian Asian ancestry women, 7,648 Indian Asian ancestry men, 1,793 Filipino ancestry women, 2,944 Hispanic/Latino ancestry women, 1,764 Hispanic/Latino ancestry men	21,496 European ancestry women, 24,385 European ancestry men, 118,364 European ancestry individuals, 2,326 African American/Afro-Caribbean ancestry women, 855 African American/Afro-Caribbean ancestry men	6p21.31	HMGA1	CYCSP55 - HMGA1	157317	3159		6297	9566	rs1776897-T	rs1776897	0	1776897	regulatory_region_variant	1	0.8414	7E-17	16.154901959985743		0.0536	[0.041-0.066] unit decrease	Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	N
55	rs7742369	6	34195011	rs1776897	2017-08-10	28443625	Justice AE	2017-04-26	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28443625	Genome-wide meta-analysis of 241,258 adults accounting for smoking behaviour identifies novel loci for obesity traits.	Waist circumference adjusted for BMI (adjusted for smoking behaviour)	97,400 European ancestry women, 63,892 European ancestry men, 5,829 European ancestry individuals, 10,500 African American/Afro-Caribbean ancestry women, 2,706 African American/Afro-Caribbean ancestry men, 1,030 Indian Asian ancestry women, 7,648 Indian Asian ancestry men, 1,793 Filipino ancestry women, 2,944 Hispanic/Latino ancestry women, 1,764 Hispanic/Latino ancestry men	21,496 European ancestry women, 24,385 European ancestry men, 118,364 European ancestry individuals, 2,326 African American/Afro-Caribbean ancestry women, 855 African American/Afro-Caribbean ancestry men	6p21.31	HMGA1	CYCSP55 - HMGA1	157317	3159		6297	9566	rs1776897-T	rs1776897	0	1776897	regulatory_region_variant	1	0.8414	7E-6	5.154901959985743	(men)	0.0423	[0.024-0.061] unit decrease	Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	N
55	rs7742369	6	34195011	rs1776897	2017-08-10	28443625	Justice AE	2017-04-26	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28443625	Genome-wide meta-analysis of 241,258 adults accounting for smoking behaviour identifies novel loci for obesity traits.	Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction)	97,400 European ancestry women, 63,892 European ancestry men, 5,829 European ancestry individuals, 10,500 African American/Afro-Caribbean ancestry women, 2,706 African American/Afro-Caribbean ancestry men, 1,030 Indian Asian ancestry women, 7,648 Indian Asian ancestry men, 1,793 Filipino ancestry women, 2,944 Hispanic/Latino ancestry women, 1,764 Hispanic/Latino ancestry men	21,496 European ancestry women, 24,385 European ancestry men, 118,364 European ancestry individuals, 2,326 African American/Afro-Caribbean ancestry women, 855 African American/Afro-Caribbean ancestry men	6p21.31	HMGA1	CYCSP55 - HMGA1	157317	3159		6297	9566	rs1776897-T	rs1776897	0	1776897	regulatory_region_variant	1	0.8414	1E-13	13.0	(women)			Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	N
55	rs7742369	6	34195011	rs1776897	2017-08-10	28443625	Justice AE	2017-04-26	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28443625	Genome-wide meta-analysis of 241,258 adults accounting for smoking behaviour identifies novel loci for obesity traits.	Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction)	97,400 European ancestry women, 63,892 European ancestry men, 5,829 European ancestry individuals, 10,500 African American/Afro-Caribbean ancestry women, 2,706 African American/Afro-Caribbean ancestry men, 1,030 Indian Asian ancestry women, 7,648 Indian Asian ancestry men, 1,793 Filipino ancestry women, 2,944 Hispanic/Latino ancestry women, 1,764 Hispanic/Latino ancestry men	21,496 European ancestry women, 24,385 European ancestry men, 118,364 European ancestry individuals, 2,326 African American/Afro-Caribbean ancestry women, 855 African American/Afro-Caribbean ancestry men	6p21.31	HMGA1	CYCSP55 - HMGA1	157317	3159		6297	9566	rs1776897-T	rs1776897	0	1776897	regulatory_region_variant	1	0.8414	2E-16	15.698970004336019				Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	N
55	rs7742369	6	34195011	rs1776897	2017-08-10	28443625	Justice AE	2017-04-26	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28443625	Genome-wide meta-analysis of 241,258 adults accounting for smoking behaviour identifies novel loci for obesity traits.	Waist circumference adjusted for BMI in non-smokers	77,113 European ancestry women, 47,319 European ancestry men, 4,856 European ancestry individuals, 8,799 African American/Afro-Caribbean ancestry women, 1,803 African American/Afro-Caribbean ancestry men, 1,020 Indian Asian ancestry women, 6,691 Indian Asian ancestry men, 1,526 Filipino ancestry women, 2,469 Hispanic/Latino ancestry women, 1,318 Hispanic/Latino ancestry men	16,011 European ancestry women, 17,912 European ancestry men, 105,218 European ancestry individuals, 2,073 African American/Afro-Caribbean ancestry women, 647 African American/Afro-Caribbean ancestry men	6p21.31	HMGA1	CYCSP55 - HMGA1	157317	3159		6297	9566	rs1776897-T	rs1776897	0	1776897	regulatory_region_variant	1	0.8414	2E-14	13.698970004336019		0.0558	[0.041-0.07] unit decrease	Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	N
55	rs7742369	6	34195011	rs1776897	2017-08-10	28443625	Justice AE	2017-04-26	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28443625	Genome-wide meta-analysis of 241,258 adults accounting for smoking behaviour identifies novel loci for obesity traits.	Waist circumference adjusted for BMI in non-smokers	77,113 European ancestry women, 47,319 European ancestry men, 4,856 European ancestry individuals, 8,799 African American/Afro-Caribbean ancestry women, 1,803 African American/Afro-Caribbean ancestry men, 1,020 Indian Asian ancestry women, 6,691 Indian Asian ancestry men, 1,526 Filipino ancestry women, 2,469 Hispanic/Latino ancestry women, 1,318 Hispanic/Latino ancestry men	16,011 European ancestry women, 17,912 European ancestry men, 105,218 European ancestry individuals, 2,073 African American/Afro-Caribbean ancestry women, 647 African American/Afro-Caribbean ancestry men	6p21.31	HMGA1	CYCSP55 - HMGA1	157317	3159		6297	9566	rs1776897-T	rs1776897	0	1776897	regulatory_region_variant	1	0.8414	6E-12	11.221848749616356	(women)	0.0636	[0.046-0.082] unit decrease	Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	N
55	rs7742369	6	34199092	rs2780226	2012-10-24	20881960	Lango Allen H	2010-09-29	Nature	www.ncbi.nlm.nih.gov/pubmed/20881960	Hundreds of variants clustered in genomic loci and biological pathways affect human height.	Height	133,653 European ancestry individuals	50,074 European ancestry individuals	6p21.31	HMGA1	CYCSP55 - HMGA1	157317	3159		10378	5485	rs2780226-T	rs2780226	0	2780226	intergenic_variant	1	0.92	8E-28	27.096910013008056		0.076	[NR] unit decrease	Affymetrix, Illumina [2834208] (imputed)	N
55	rs7742369	6	34199092	rs2780226	2017-08-18	28448500	Graff M	2017-04-27	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/28448500	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	Waist circumference adjusted for BMI (joint analysis main effects and physical activity interaction)	2,518 African American women, 85,730 European ancestry women, 1,773 Filipino ancestry women, 1,030 Indian ancestry women, 1,457 African American men, 54,792 European ancestry men, 7,648 Indian ancestry men, 5,527 European ancestry individuals	6,244 African American women, 17,531 European ancestry women, 329 African American men, 19,956 European ancestry men	6p21.31	CYCSL1, HMGA1	CYCSP55 - HMGA1	157317	3159		10378	5485	rs2780226-?	rs2780226	0	2780226	intergenic_variant	1	0.0816	1E-10	10.0	(EA, women)			Affymetrix, Illumina, Perlegen [~ 2500000] (imputed)	N
55	rs7742369	6	34199092	rs2780226	2017-08-18	28448500	Graff M	2017-04-27	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/28448500	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	Waist circumference adjusted for BMI (joint analysis main effects and physical activity interaction)	2,518 African American women, 85,730 European ancestry women, 1,773 Filipino ancestry women, 1,030 Indian ancestry women, 1,457 African American men, 54,792 European ancestry men, 7,648 Indian ancestry men, 5,527 European ancestry individuals	6,244 African American women, 17,531 European ancestry women, 329 African American men, 19,956 European ancestry men	6p21.31	CYCSL1, HMGA1	CYCSP55 - HMGA1	157317	3159		10378	5485	rs2780226-?	rs2780226	0	2780226	intergenic_variant	1	0.0816	5E-12	11.301029995663981	(EA)			Affymetrix, Illumina, Perlegen [~ 2500000] (imputed)	N
55	rs7742369	6	34199092	rs2780226	2017-08-18	28448500	Graff M	2017-04-27	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/28448500	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	Waist circumference adjusted for BMI in active individuals	1,957 African American women, 1,773 Filipino ancestry women, 305 Indian ancestry women, 67,139 European ancestry women, 1,206 African American men, 2,029 Indian ancestry men, 43,100 European ancestry men, at least 4,819 European ancestry individuals	4,807 African American women, 12,347 European ancestry women, 265 African American men, 14,540 European ancestry men	6p21.31	CYCSL1, HMGA1	CYCSP55 - HMGA1	157317	3159		10378	5485	rs2780226-C	rs2780226	0	2780226	intergenic_variant	1	0.0816	8E-10	9.096910013008056	(EA)	0.0504	[0.034-0.066] cm increase	Affymetrix, Illumina, Perlegen [~ 2500000] (imputed)	N
55	rs7742369	6	34199092	rs2780226	2017-08-18	28448500	Graff M	2017-04-27	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/28448500	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	Waist circumference adjusted for BMI in active individuals	1,957 African American women, 1,773 Filipino ancestry women, 305 Indian ancestry women, 67,139 European ancestry women, 1,206 African American men, 2,029 Indian ancestry men, 43,100 European ancestry men, at least 4,819 European ancestry individuals	4,807 African American women, 12,347 European ancestry women, 265 African American men, 14,540 European ancestry men	6p21.31	CYCSL1, HMGA1	CYCSP55 - HMGA1	157317	3159		10378	5485	rs2780226-C	rs2780226	0	2780226	intergenic_variant	1	0.0827	6E-8	7.221848749616356	(EA,women)	0.0558	[0.036-0.076] cm increase	Affymetrix, Illumina, Perlegen [~ 2500000] (imputed)	N
55	rs7742369	6	34199092	rs2780226	2017-08-18	28448500	Graff M	2017-04-27	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/28448500	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	Waist circumference adjusted for body mass index	2,518 African American women, 85,730 European ancestry women, 1,773 Filipino ancestry women, 1,030 Indian ancestry women, 1,457 African American men, 54,792 European ancestry men, 7,648 Indian ancestry men, 5,527 European ancestry individuals	6,244 African American women, 17,531 European ancestry women, 329 African American men, 19,956 European ancestry men	6p21.31	CYCSL1, HMGA1	CYCSP55 - HMGA1	157317	3159		10378	5485	rs2780226-C	rs2780226	0	2780226	intergenic_variant	1	0.0816	1E-11	11.0	(EA, women)	0.0618	[0.044-0.08] cm increase	Affymetrix, Illumina, Perlegen [~ 2500000] (imputed)	N
55	rs7742369	6	34199092	rs2780226	2017-08-18	28448500	Graff M	2017-04-27	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/28448500	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	Waist circumference adjusted for body mass index	2,518 African American women, 85,730 European ancestry women, 1,773 Filipino ancestry women, 1,030 Indian ancestry women, 1,457 African American men, 54,792 European ancestry men, 7,648 Indian ancestry men, 5,527 European ancestry individuals	6,244 African American women, 17,531 European ancestry women, 329 African American men, 19,956 European ancestry men	6p21.31	CYCSL1, HMGA1	CYCSP55 - HMGA1	157317	3159		10378	5485	rs2780226-C	rs2780226	0	2780226	intergenic_variant	1	0.0816	7E-14	13.154901959985743	(EA)	0.053	[0.039-0.067] cm increase	Affymetrix, Illumina, Perlegen [~ 2500000] (imputed)	N
55	rs7742369	6	34214322	rs1150781	2011-11-08	21998595	N'Diaye A	2011-10-06	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21998595	Identification, replication, and fine-mapping of Loci associated with adult height in individuals of african ancestry.	Height	20,427 African ancestry individuals	Up to 16,436 African American individuals	6p21.31	HMGA1	C6orf1			221491			rs1150781-C	rs1150781	0	1150781	missense_variant	0	0.42	2E-8	7.698970004336019		0.048	[0.030-0.066] unit increase	Affymetrix, Illumina [3310998] (imputed)	N
55	rs7742369	6	34219698	rs57026767	2017-06-21	28270201	Nagy R	2017-03-07	Genome Med	www.ncbi.nlm.nih.gov/pubmed/28270201	Exploration of haplotype research consortium imputation for genome-wide association studies in 20,032 Generation Scotland participants.	Height	19,965 British ancestry individuals from 6863 families.	NA	6p21.31	C6orf1	C6orf1 - RPL35P2	221491	646766		2813	11349	rs57026767-T	rs57026767	0	57026767	intron_variant	1	0.155	5E-11	10.301029995663981		0.0061093657	[0.0043-0.0079] m decrease	Illumina [24111857] (imputed)	N
55	rs7742369	6	34236429	rs9469761	2017-05-23	25673412	Shungin D	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673412	New genetic loci link adipose and insulin biology to body fat distribution.	Hip circumference	up to 56,910 European ancestry men, up to 86,570 European ancestry women	up to 36,570 European ancestry men, 30,172 European ancestry women, 915 Filipino ancestry men, 735 Filipino ancestry women, 2,351 African American/Afro-Caribbean ancestry men, 6,258 African American/Afro-Caribbean ancestry women, 2,285 South Asian ancestry men, 506 South Asian ancestry women, 195 Seychellois ancestry men, 266 Seychellois ancestry women	6p21.31	NUDT3	RPL35P2 - RPS10-NUDT3	646766	100529239		4929	18542	rs9469761-A	rs9469761	0	9469761	intron_variant	1	0.1231	3E-8	7.522878745280337	(EA)	0.032	[0.021-0.043] unit increase	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	N
55	rs7742369	6	34236429	rs9469761	2017-05-23	25673412	Shungin D	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673412	New genetic loci link adipose and insulin biology to body fat distribution.	Hip circumference	up to 56,910 European ancestry men, up to 86,570 European ancestry women	up to 36,570 European ancestry men, 30,172 European ancestry women, 915 Filipino ancestry men, 735 Filipino ancestry women, 2,351 African American/Afro-Caribbean ancestry men, 6,258 African American/Afro-Caribbean ancestry women, 2,285 South Asian ancestry men, 506 South Asian ancestry women, 195 Seychellois ancestry men, 266 Seychellois ancestry women	6p21.31	NUDT3	RPL35P2 - RPS10-NUDT3	646766	100529239		4929	18542	rs9469761-A	rs9469761	0	9469761	intron_variant	1	0.1231	4E-6	5.3979400086720375	(EA, men)	0.037	[0.021-0.053] unit increase	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	N
55	rs7742369	6	34238514	rs6918981	2009-05-05	19396169	Cho YS	2009-04-26	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19396169	A large-scale genome-wide association study of Asian populations uncovers genetic factors influencing eight quantitative traits.	Height	8,842 Korean ancestry individuals	7,861 Korean ancestry individuals	6p21.31	HMGA1	RPL35P2 - RPS10-NUDT3	646766	100529239		7014	16457	rs6918981-G	rs6918981	0	6918981	intron_variant	1	0.21	3E-8	7.522878745280337		0.4	[0.26-0.54] cm increase	Affymetrix [2156535] (imputed)	N
55	rs7742369	6	34238514	rs6918981	2009-12-04	19893584	Kim JJ	2009-11-06	J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/19893584	Identification of 15 loci influencing height in a Korean population.	Height	8,842 Korean ancestry individuals	NA	6p21.31	HMGA1, C6orf1, NUDT3	RPL35P2 - RPS10-NUDT3	646766	100529239		7014	16457	rs6918981-G	rs6918981	0	6918981	intron_variant	1	0.21	2E-8	7.698970004336019		0.55	[NR] cm increase	Affymetrix [334546]	N
55	rs7742369	6	34238514	rs6918981	2015-07-15	25429064	He M	2014-11-26	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/25429064	Meta-analysis of genome-wide association studies of adult height in East Asians identifies 17 novel loci.	Height	36,227 East Asian ancestry individuals	57,699 East Asian ancestry individuals	6p21.31	NUDT3	RPL35P2 - RPS10-NUDT3	646766	100529239		7014	16457	rs6918981-A	rs6918981	0	6918981	intron_variant	1	0.84	2E-30	29.69897000433602		0.069	[0.053-0.085] unit decrease	Affymetrix, Illumina [2704730] (imputed)	N
55	rs7742369	6	34244132	rs115245297	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Mean corpuscular volume	172,433 European ancestry individuals	NA	6p21.31	RP11-513I15.6	RPL35P2 - RPS10-NUDT3	646766	100529239		12632	10839	rs115245297-C	rs115245297	0	115245297	intron_variant	1	0.0469	3E-12	11.522878745280337		0.05828829	[0.042-0.075] unit decrease	Affymetrix [~ 2500000] (imputed)	N
55	rs7742369	6	34302869	rs206936	2010-11-17	20935630	Speliotes EK	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935630	Association analyses of 249,796 individuals reveal 18 new loci associated with body mass index.	Body mass index	Up to 123,865 European ancestry individuals	Up to 125,931 European ancestry individuals	6p21.31	HMGA1, NUDT3	NUDT3, RPS10-NUDT3			11165, 100529239			rs206936-G	rs206936	0	206936	intron_variant	0	0.21	3E-8	7.522878745280337		0.06	[0.02-0.10] kg/m2 increase	Affymetrix, Illumina, Perlegen [~ 2800000] (imputed)	N
55	rs7742369	6	34305299	rs114563403	2017-12-01	28928442	Tian C	2017-09-19	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28928442	Genome-wide association and HLA region fine-mapping studies identify susceptibility loci for multiple common infections.	Tonsillectomy	60,098 European ancestry cases, 113,323 European ancestry controls	NA	6p21.31	NR	NUDT3, RPS10-NUDT3			11165, 100529239			rs114563403-?	rs114563403	0	114563403	intron_variant	0	NR	5E-6	5.301029995663981		0.0962	[0.055-0.137] unit decrease	Illumina [at least 560000] (imputed)	N
55	rs7742369	6	34439569	rs7757419	2017-08-18	28448500	Graff M	2017-04-27	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/28448500	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	Body mass index	2,518 African American women, 86,278 European ancestry women, 1,773 Filipino ancestry women, 1,030 Indian ancestry women, 1,457 African American men, 55,137 European ancestry men, 7,648 Indian ancestry men, 5,527 European ancestry individuals	6,244 African American women, 17,531 European ancestry women, 329 African American men, 19,956 European ancestry men	6p21.31	PACSIN1	PACSIN1			29993			rs7757419-T	rs7757419	0	7757419	intron_variant	0	0.1856	2E-8	7.698970004336019	(EA)	0.0283	[0.018-0.038] kg/m2 increase	Affymetrix, Illumina, Perlegen [~ 2500000] (imputed)	N
